"排名","代號","名稱","成交","漲跌價","漲跌幅","持股資料年度","政府機構(%)","政府機構增減","僑外投資(%)","僑外投資增減","本國金融機構(%)","本國金融機構增減","本國法人(%)","本國法人增減","本國個人(%)","本國個人增減","庫藏股票(%)","庫藏股票增減"
"359",="4564","元翎","41.4","-0.6","-1.43","2021","0","0","1.53","-0.83","3.63","-0.43","13.8","-2.59","81.1","+3.85","0","0"
"360",="6290","良維","52.8","-0.3","-0.56","2021","0","0","2.84","-2.45","3.61","-3.93","15.4","-6.85","78.1","+13.2","0","0"
"361",="4506","崇友","65.1","-0.2","-0.31","2021","0","0","6.46","-1.36","3.58","-0.03","62.7","-0.03","27.2","+1.42","0","0"
"362",="2344","華邦電","29.7","-0.85","-2.78","2021","1.15","+0.38","22.4","+1.24","3.55","+1.8","29.1","+0.68","43.8","-4.1","0","0"
"363",="8163","達方","42.9","-0.35","-0.81","2021","0.19","-0.17","17.7","+0.96","3.55","+1.76","26.8","+0.38","51.8","-2.93","0","0"
"364",="1730","花仙子","63.6","+0.1","+0.16","2021","0","0","11.4","+2.63","3.55","+0.22","20.9","+2.21","64.2","-5.06","0","0"
"365",="3036","文曄","64.9","-0.4","-0.61","2021","0.16","-0.18","12.1","-12.6","3.53","-2.3","58.8","+45.7","25.4","-30.5","0","0"
"366",="2204","中華","66","-0.4","-0.6","2021","0.72","+0.32","29.2","+0.39","3.51","-3.02","46.2","+0.47","20.3","+1.84","0","0"
"367",="6282","康舒","35.9","-0.1","-0.28","2021","0","0","8.42","-5.99","3.5","+0.53","28.3","-0.2","59.8","+5.67","0","0"
"368",="1903","士紙","72.5","+0.1","+0.14","2021","0","0","14.6","-0.36","3.46","0","42","+0.93","39.9","-0.57","0","0"
"369",="8464","億豐","380","-3","-0.78","2021","0.53","+0.06","44.1","+3.09","3.44","-1.81","7.8","+0.42","44.2","-1.75","0","0"
"370",="6747","亨泰光","334.5","-6","-1.76","2021","0","","0.99","","3.43","","39.2","","56.4","","0",""
"371",="8942","森鉅","68.5","+0.4","+0.59","2021","0","0","23.3","-0.73","3.41","-0.05","10.2","+1.14","62","-0.36","1.15","0"
"372",="4438","廣越","137.5","+2.5","+1.85","2021","0","0","2.28","-2.94","3.41","+1.39","52.5","+0.08","41.8","+1.48","0","0"
"373",="8081","致新","251.5","-3.5","-1.37","2021","2.95","-1.58","26.8","+11.6","3.4","-1.18","25","-0.43","41.9","-8.43","0","0"
"374",="2455","全新","141","+5","+3.68","2021","0.72","-4.81","33.3","+12.9","3.38","-9.43","13.1","+2.15","49.5","-0.76","0","0"
"375",="2103","台橡","32.2","-0.4","-1.23","2021","0.41","+0.34","29.4","-2.98","3.37","+1.56","28.7","+3.51","38.2","-2.42","0","0"
"376",="8926","台汽電","37.65","-0.2","-0.53","2021","27.7","0","6.46","+0.07","3.37","-0.39","16.6","-0.63","45.9","+0.95","0","0"
"377",="1503","士電","54.1","0","0","2021","0.12","0","32","-0.13","3.34","0","43.6","+0.43","21","-0.3","0","0"
"378",="3587","閎康","138.5","+0.5","+0.36","2021","0","0","5.21","+2.32","3.34","0","36.8","-4.3","54.7","+1.99","0","0"
"379",="8155","博智","149","-2.5","-1.65","2021","0","0","0.97","-0.72","3.32","-13.1","43.2","+0.14","52.5","+13.6","0","0"
"380",="3016","嘉晶","143","+13","+10","2021","0","0","1.17","+0.3","3.31","+2.66","63.9","-2.6","31.6","-0.35","0","0"
"381",="4572","駐龍","104","-5","-4.59","2021","0","0","0.9","+0.46","3.27","+0.65","31.6","-2.61","64.2","+1.5","0","0"
"382",="1560","中砂","91","+2.2","+2.48","2021","0","0","13.1","+0.39","3.24","+1.5","20.9","-2.32","62.7","+0.43","0","0"
"383",="4977","眾達-KY","86.3","-0.5","-0.58","2021","0","0","37.5","-1.52","3.22","-7.3","9.54","+1.2","49.7","+7.88","0","-0.26"
"384",="4429","聚紡","40.2","+0.55","+1.39","2021","0","0","0.05","+0.04","3.21","-0.01","62.9","+2.4","33.7","-2.51","0.08","+0.08"
"385",="6531","愛普*","520","-17","-3.17","2021","0","0","14.7","+3.02","3.17","+2.83","38.5","-4.3","43.3","-1.55","0.35","0"
